name,author,rating,new_price,old_price
Сила мгновенных решений: Интуиция как навык (Покет),Гладуэлл М.,,390.0,468.0
"То, как мы работаем — не работает: Проверенные способы управления жизненной энергией (Покет серия)",Шварц Т.,9.6,440.0,528.0
Сила обаяния: Как завоевывать сердца и добиваться успеха (Покет серия),"Трейси Б., Арден Р.",,390.0,468.0
"Тело, еда, секс и тревога: Что беспокоит современную женщину. Исследование клинического психолога",Лапина Ю.,9.1,840.0,1008.0
Подчинение авторитету: Научный взгляд на власть и мораль (покет),Стенли Милгрэм,,440.0,528.0
"Не рычите на собаку! Книга о дрессировке людей, животных и самого себя",Карен Прайор,,314.0,379.0
"Хватит быть славным парнем! Как добиться желаемого в любви, работе и жизни + Покет-серия",Гловер Роберт,9.2,490.0,588.0
Большая пятерка для жизни: приключение продолжается,Джон Стрелеки,9.4,360.0,439.0
Любовь к несовершенству: Принять себя и других со всеми недостатками,Суним Г.,9.5,740.0,888.0
Аутентичность: Как быть собой,Джозеф С.,,390.0,468.0
Нейропсихология. Игры и упражнения,Праведникова И.,,244.0,349.0
Лекарство от нервов. Как перестать волноваться и получить удовольствие от жизни,Лихи Р.,9.8,910.0,1019.0
Тысячеликий герой,Кэмпбелл Джозеф,9.3,517.0,599.0
Такому мама не научит!,Павел Раков,,103.0,299.0
"Сила подсознания, или Как изменить жизнь за 4 недели (подарочная)",Джо Диспенза,8.0,1044.0,1249.0
Девушка с деньгами: Книга о финансах и здравом смысле,Веселко А.,8.7,740.0,888.0
"Как влиять на людей и выработать уверенность в себе, выступая публично",Дейл Карнеги,9.2,323.0,389.0
Парадокс Шимпанзе. Как управлять эмоциями для достижения своих целей,Стив Питерс,,469.0,563.0
Меня спасло селфи,Маша Пак,8.5,106.0,499.0
"Мужские правила: Отношения, секс, психология",Марк Мэнсон,8.5,708.0,919.0
Сафари для жизни. Как сделать мечты реальностью и никогда не переживать о потраченном времени,Джон Стрелеки,,278.0,334.0
"Победи депрессию прежде, чем она победит тебя",Лихи Р.,8.2,517.0,599.0
Ревность. Как с ней жить и сохранить отношения,Лихи Р.,,517.0,599.0
Жена,Катя Портнягина,8.0,314.0,999.0
Опасные личности. Как их вычислить и не дать манипулировать собой,Джо Наварро,9.4,494.0,599.0
Любит/не любит. Что мешает вам создать крепкие отношения и как это исправить,Стефани Шталь,9.0,688.0,829.0
Разговорный гипноз: практический курс,Анвар Бакиров,,844.0,1019.0
Психосоматика лишнего веса. Дело не в еде,Наталья Щербинина,,644.0,779.0
Мигрень,Оливер Сакс,9.1,360.0,439.0
О психологии бессознательного,Карл Густав Юнг,9.3,288.0,349.0
Вид с вершины: от успеха к собственной значимости. (обл.). Зиглар З.,Зиглар З.,,383.0,547.0
Ты вся светишься! Как зажечь внутреннее солнце и найти путь к счастью,Лаура Малина Сейлер,8.9,756.0,919.0
Все мы творения на день,Ирвин Ялом,9.5,469.0,563.0
"НИ ЗЯ. Откажись от пагубных слабостей, обрети силу духа и стань хозяином своей судьбы",Джен Синсеро,8.6,800.0,969.0
"Люди, которые играют в игры",Эрик Берн,8.7,775.0,939.0
"Психология влияния. Внушай, управляй, защищайся",Роберт Чалдини,8.7,469.0,563.0
"НЕТ ЗНАЧИТ НЕТ. Как перестать быть удобным и научиться говорить ""нет"" без угрызений совести",Деймон Захариадис,,669.0,809.0
Психокибернетика. Как запрограммировать себя на подлинное счастье,Максуэлл Мольц,9.4,513.0,619.0
Все врут! Как распознать ложь и научиться врать самому,Светлана Кузина,,209.0,599.0
"Токсичные люди. Как защититься от нарциссов, газлайтеров, психопатов и других манипуляторов",Шахида Араби,8.9,535.0,1149.0
